,name,minter,generationHash,listings,offers,gas_fee
0,Zena #149,"{""name"":""ghostbaby"",""id"":""tz1gbSJRBw2spyjRWB6oobbHB5KH9jtLvQgB""}",ooNPBDfTVimEozKYc6yPBSaZ52FFmj278z14XJnNzgLywfjeH8Q,[],[],0.00371
1,Zena #148,"{""name"":""mulf"",""id"":""tz1YVFsgrWyduRDG8pSCFE16yhu58zosr3bc""}",opGSebsG4iiECtjNcphS98NYUYdiMyT7hf5RyGKkwTmsZ81Wsah,[],[],0.00371
2,Zena #147,"{""name"":""Doble"",""id"":""tz2GCJP4skiWtn6jyM9KvtRJXpHZjAm4XxWD""}",oo8CnwzhiwNNNGyU6AgYRjxvFjxSFMFqKNNDiaD37e4Pwuye5C7,[],[],0.00362
3,Zena #146,"{""name"":""Birbman.tez"",""id"":""tz1c1T62BqhmNbpz13uE7gGsWc7qo8uEj4z1""}",oogKri89HQpMaYHb5qNaCV4TvkPXJbxvT8a8qWCKvaV4gvnhmGP,[],[],0.00359
4,Zena #145,"{""name"":""ciphrd"",""id"":""tz1PoDdN2oyRyF6DA73zTWAWYhNL4UGr3Egj""}",ontPxSnTfo78yeQtNtNHt11nRuacoV88TpeNrY6ndARWptv3dyJ,[],[],0.00359
5,Zena #144,"{""name"":null,""id"":""tz2WoeKhtQV7pJKEZkrRm3wNVt3RnJ1avRrD""}",ooDWVe1yRZx9e14wQ56HHG8SK4FrsALYYjYiuHxFeDcjbf6kR1M,[],[],0.00362
6,Zena #143,"{""name"":""cczer0"",""id"":""tz1gHotBGd6rC1EivmVgoL5Kopnz8Y9jiyjP""}",ooUTUx6bNNQQP7gJV1FarVmSnvbcceUc625epMyYMZvuMUqoU85,[],[],0.00359
7,Zena #142,"{""name"":""cczer0"",""id"":""tz1gHotBGd6rC1EivmVgoL5Kopnz8Y9jiyjP""}",opXkzWMNAzWu9gni1Qf4eEiPZkurvNfuZnQErPBPJJZSMPREMMz,[],[],0.00359
8,Zena #141,"{""name"":""lubuseb.tez"",""id"":""tz2VnKS1okLGifn3SPsH3NBGyFeqPwNDmvtU""}",oo2wTRiubGWLqzdu1U7MTjpR9mkTUZR1DF3GNf37BgkLQLRdgy1,"[{""price"":25000000,""acceptedAt"":null}]",[],0.00362
9,Zena #140,"{""name"":null,""id"":""tz1RZ5hgc8wqGgLZkJZhKMJN7J14uuRBkGxR""}",ooDD7q17vBpZGMF3f94WXcjxEGxqeU6mLByxfr3BTyLELf2MWfy,[],[],0.00359
10,Zena #139,"{""name"":""coinsherpa.tez"",""id"":""tz1iG16d1G7jutBWiYmZZqGsrjM3aPbx1VB5""}",opXP1eHWzZdYTK9UeS5tpmDK463GUnzGZUJDr2AAHmz4h7JdXtC,"[{""price"":27000000,""acceptedAt"":null},{""price"":20000000,""acceptedAt"":null},{""price"":30000000,""acceptedAt"":null},{""price"":26000000,""acceptedAt"":null}]",[],0.00359
11,Zena #138,"{""name"":""Sutan"",""id"":""tz1gMRKQWdhY5ZPUehpHofLswyL8Vexvfpbm""}",ooANCW8hUt17wP3iDBog5NYEUi8GtSryeo75ZWW3dyLb2gRsPx2,[],[],0.00359
12,Zena #137,"{""name"":""Manfred"",""id"":""tz1ez6NCePNGbQXdY54y4MdLmjC4o6wZJxSY""}",opAWihfuw1phnGvHJuzURid8nDucRstLQjd1k5D2FX3ZqwfL5Dp,[],[],0.00359
13,Zena #136,"{""name"":""P0chita"",""id"":""tz1V9EauaVkNMQMqzhmVdgZm2sKLaH9GsuRU""}",oohRkA8XYRjxXmpnsV3J9V5Y9raXJjVWgVn9PvPLjuki5NTLSBK,"[{""price"":14000000,""acceptedAt"":""2022-11-22T13:48:14.000Z""}]",[],0.00362
14,Zena #135,"{""name"":""hereforthis.tez"",""id"":""tz1hk9DcELXzt24jK6Dh3RkFkZHsQ95Jzaas""}",ooVe9gr9bfq3fiAWzMCGsZ3HopqErSWLUGyUQp1DUgmqdx63rUi,"[{""price"":20000000,""acceptedAt"":null}]","[{""price"":15000000,""acceptedAt"":""2022-11-20T16:41:59.000Z""}]",0.00359
15,Zena #134,"{""name"":""general-tso"",""id"":""tz1R96pvEJceY4yk7Jb9H5jQwWvwYfSXy2sr""}",ooP4eLdbxhMTmdsYzAtFopNhryC445jxXn8YDgunuN7DQJcjU7m,[],[],0.003644
16,Zena #133,"{""name"":""P0chita"",""id"":""tz1V9EauaVkNMQMqzhmVdgZm2sKLaH9GsuRU""}",onp5vfP7a9T2dgquegR5RZNTxHad6g3RBD2cPdwVTHGJqKzyqr4,"[{""price"":20000000,""acceptedAt"":null},{""price"":12000000,""acceptedAt"":""2022-11-14T15:28:59.000Z""}]",[],0.00362
17,Zena #132,"{""name"":""KangjunHuang"",""id"":""tz1RzQRvjkm1USqsKaeACVr2gihVN2fV5VKV""}",op5XX4xbytmXaHyG5Wj2N9DKxUEq7bAdQWE6gsZ8yybUvVH4tEm,"[{""price"":26000000,""acceptedAt"":null}]",[],0.00362
18,Zena #131,"{""name"":""Myrddin"",""id"":""tz1SioLF6ViffZjf9REHXCdJe4SjyuS4D9s6""}",onq8ztd8AaZwVpXXSVKv2N6ew4ZdZJTFkxS8TdyFPUhXvHgHCjK,[],[],0.00359
19,Zena #130,"{""name"":null,""id"":""tz1eiVBbhcb1Y3pYNU5x2WHh2hJ8xhwTYdWk""}",op7sDC9bq5xqnWuDbL8Yafwy8WQya8gCfij85VvBfRtyBE6ETx2,"[{""price"":15000000,""acceptedAt"":null},{""price"":13000000,""acceptedAt"":null},{""price"":18000000,""acceptedAt"":null}]",[],0.00359
20,Zena #129,"{""name"":null,""id"":""tz1eiVBbhcb1Y3pYNU5x2WHh2hJ8xhwTYdWk""}",ooL55B2enkt5ZJU5HP3PFRLqpW5gBLnC4WVpXcY67SvJKwpYuGZ,[],[],0.00359
21,Zena #128,"{""name"":""abbeyroad.tez"",""id"":""tz1XvjFnqoNBasQrrAjPX8cYzfnejiPdQ5vf""}",ooXcy1eU8XtsHuy9NAju3L2RQV3wNW7ZWfXCvjbFDQwaQce9NV8,"[{""price"":42000000,""acceptedAt"":null},{""price"":250000000,""acceptedAt"":null}]",[],0.00359
22,Zena #127,"{""name"":""abbeyroad.tez"",""id"":""tz1XvjFnqoNBasQrrAjPX8cYzfnejiPdQ5vf""}",opBWmRLGsf43LiBasV3UwwfCcTUDJZBdnfg2rWQ7kvCX8h3jVh6,"[{""price"":10690000,""acceptedAt"":null},{""price"":14000000,""acceptedAt"":""2022-11-23T02:32:59.000Z""}]",[],0.00359
23,Zena #126,"{""name"":""abbeyroad.tez"",""id"":""tz1XvjFnqoNBasQrrAjPX8cYzfnejiPdQ5vf""}",opHnTzhLV12VTS7myZKmUUc8X54YobkNV8xeML6fsdh35Stv5rL,"[{""price"":12600000,""acceptedAt"":null}]",[],0.00359
24,Zena #125,"{""name"":""abbeyroad.tez"",""id"":""tz1XvjFnqoNBasQrrAjPX8cYzfnejiPdQ5vf""}",ooiXUgNsqmVAZ9WgAx16EEG2BgTyN3mevyrqGQb8REbCaw6EUN7,"[{""price"":15000000,""acceptedAt"":null},{""price"":15000000,""acceptedAt"":""2022-12-03T13:34:29.000Z""}]",[],0.00359
25,Zena #124,"{""name"":""web3woofer"",""id"":""tz1iUycnLFbowwhJog3DQfuhgYLVnqomnmPQ""}",ootRQcSaY2MtqQQvTzTX9xMQWsNuDnz1LDdrAmkMyZEGXUV6nSd,[],[],0.00359
26,Zena #123,"{""name"":""pixelwank"",""id"":""tz1fPR5U9vvCJMjfB5gFjgAGB2eD76arskGG""}",op4KbfgAUj7EGeqqLBRC6Zj677H1QG33Z78Ai7aibRNmuA3pDgR,[],[],0.00362
27,Zena #122,"{""name"":""M.O.O.D/Music Of Our Day"",""id"":""tz1g43soW12HyrVJpJdyhQ5zN4e1SWXBdbK9""}",ooJCMGLWBbryBoXX2Mvuuxvv9cLRFRP6h2TW91R7YNL61SLASMN,[],[],0.003644
28,Zena #121,"{""name"":""abbeyroad.tez"",""id"":""tz1XvjFnqoNBasQrrAjPX8cYzfnejiPdQ5vf""}",opFmM99CkUjfDUyQWjEVr99LzJFAahSvHM6hh81T2NcVHMheqd3,"[{""price"":16000000,""acceptedAt"":null},{""price"":15000000,""acceptedAt"":null}]",[],0.00359
29,Zena #120,"{""name"":""abbeyroad.tez"",""id"":""tz1XvjFnqoNBasQrrAjPX8cYzfnejiPdQ5vf""}",opJayDpz5CQng5RAdf8o3DscC1NqvqaPuviECHDTeXLZvnckW3Z,"[{""price"":18000000,""acceptedAt"":null},{""price"":24000000,""acceptedAt"":null}]",[],0.00359
30,Zena #119,"{""name"":""abbeyroad.tez"",""id"":""tz1XvjFnqoNBasQrrAjPX8cYzfnejiPdQ5vf""}",ooW1RpXoER4aMF7cHtGPePVa38v6VS65y9rWhkViednMq2zR26u,"[{""price"":16000000,""acceptedAt"":null},{""price"":9000000,""acceptedAt"":null}]",[],0.00359
