,name,minter,generationHash,listings,offers,gas_fee
0,flower.pack #200,"{""name"":""earthmonkey"",""id"":""tz1Tm5drMq3zueTpSonJ2FE7P3MBZN9RBNta""}",ooxyMSAFnAFdQuLRCpPtq7mzAoJYxhqMfesrjeG7UgMQCuuk7Tx,[],[],0.003699
1,flower.pack #199,"{""name"":""Shilly Preston"",""id"":""tz1SMEhS93oLW6v3Uw154nZ7JqzepqSaYZA4""}",onxc8u49CFpmViPocKkUB9m2REf2AVUHt473ZcgUzsL1w5oUior,[],[],0.003699
2,flower.pack #198,"{""name"":""JamesKruiff"",""id"":""tz1SDYHhcihUArgFBRVgjbArxcKgppJ5oihE""}",opDim1MeWhbzKnyKLGVX3vNr4xdiFgNEtkWGdsHJW7YfsbaRyhH,"[{""price"":22000000,""acceptedAt"":null},{""price"":17990000,""acceptedAt"":""2022-10-16T20:08:14.000Z""}]",[],0.003699
3,flower.pack #197,"{""name"":""OmRon"",""id"":""tz1QvbTMtRwod6mrGuPaYX4zFvKvzSTb7tUA""}",opJMrvx8BBkE95hhwp5zWyV4F3aC2tLi22BXsVVgdeKGxhD1wvw,"[{""price"":25000000,""acceptedAt"":null}]",[],0.003699
4,flower.pack #196,"{""name"":""Trying"",""id"":""tz1QXceqSyxyKE9YDMgtbmSGoqTACdhQCik9""}",ooKvtoSEJeEwf8VxcX2Jgc2AjGB9qfQpDjVbEkkQ43Qy9JCMBPE,[],[],0.003699
5,flower.pack #195,"{""name"":null,""id"":""tz1N5V3SyVXXXFxgNhDjhSUq9s7aAGh7SsEb""}",opRTzpox6BiJ4vYKuNqLs9gtAhbjbKRzsG1N1H4wamQy5JDsTPj,[],[],0.003699
6,flower.pack #194,"{""name"":""parsa"",""id"":""tz1M7L5Cso1LYodozyrQEjqNBFCUm5vGkrgg""}",ooW9vgJCt53x2JcmvFi2gSxmaF8e7R9xGyJtAsTcYXrK4ExXNEJ,"[{""price"":34430000,""acceptedAt"":null},{""price"":26000000,""acceptedAt"":null},{""price"":18990000,""acceptedAt"":null},{""price"":13990000,""acceptedAt"":null},{""price"":8900000,""acceptedAt"":null},{""price"":5900000,""acceptedAt"":""2022-11-07T11:37:29.000Z""}]","[{""price"":3000000,""acceptedAt"":null}]",0.003699
7,flower.pack #193,"{""name"":""Viktoria.tez"",""id"":""tz1Kjj8jot6gX3CFuoaRietjwoPoaPoT6fup""}",op6Vi4Fq1DoJDskVGZfHReeHyTcKij1GFvCDyBNu31hg6Sj6JNv,"[{""price"":19300000,""acceptedAt"":null},{""price"":14500000,""acceptedAt"":null},{""price"":11000000,""acceptedAt"":null},{""price"":5900000,""acceptedAt"":null},{""price"":4700000,""acceptedAt"":""2022-10-19T19:25:59.000Z""}]",[],0.003699
8,flower.pack #192,"{""name"":null,""id"":""tz1apoQC5dPRwQTy1XTLipwakvUupzSUHmym""}",op3adXrkgyv2hi3RxdiXggxmT6hErQx9cPJW2Sg5wyEzJkBAFFn,"[{""price"":20000000,""acceptedAt"":""2022-10-16T19:47:14.000Z""}]",[],0.0037
9,flower.pack #191,"{""name"":""AjjNNA"",""id"":""tz29tLdxREcbM2jJTbaTYMWxWtvGhPuTx251""}",oonqGnX1aXmEQCXSJ3xzfUqd2ZuPivayNehvXpzBt1Af8dHo3mo,"[{""price"":11000000,""acceptedAt"":null},{""price"":35000000,""acceptedAt"":null},{""price"":21000000,""acceptedAt"":null},{""price"":13000000,""acceptedAt"":null}]",[],0.003876
