,name,minter,generationHash,listings,offers,gas_fee
0,magmatic #200,"{""name"":""GoreFlipper"",""id"":""tz1dWyQQjasXyeZPgdfPkgFxHLSNZF9pkt1k""}",ooqTssrbg5RndknPCd8QKXFTNioYPyNjMvzayw8wySCwozZWTmg,"[{""price"":15000000,""acceptedAt"":null},{""price"":7500000,""acceptedAt"":null},{""price"":5000000,""acceptedAt"":""2022-10-25T21:16:44.000Z""}]",[],0.003725
1,magmatic #199,"{""name"":""zovcom"",""id"":""tz1Tvy2a1JSFk7p51ZE1C3j3EiVrsX2rwBjP""}",opLWsmLEGdfSbc4YMKaPpq49Qw9UwpExGaf5TuY7cX5idSVqcqD,"[{""price"":6000000,""acceptedAt"":""2022-10-26T22:54:44.000Z""}]",[],0.003583
2,magmatic #198,"{""name"":""Mutart"",""id"":""tz1fNBMXWfwwLzj3T2MGPeVscEC9294Gnnfa""}",oo5XzMLQWQjyUMU7sfHZVnxoNz8d8TKMJAemiLCa79sfLUU9N6T,[],[],0.003637
3,magmatic #197,"{""name"":""diagonal"",""id"":""tz1hGzy5aJwRDWzsfwgBkqAc9Ug5kcQxY6Jf""}",op38hfiZ68vHZszuL63BYKKuQHF7ZNtDrQ6TPwko5ZUF9chLBBp,"[{""price"":12000000,""acceptedAt"":null},{""price"":10000000,""acceptedAt"":""2022-12-12T18:08:14.000Z""}]",[],0.003583
4,magmatic #196,"{""name"":""diagonal"",""id"":""tz1hGzy5aJwRDWzsfwgBkqAc9Ug5kcQxY6Jf""}",opYc8MMNxSiCAvTDQsPxucGL41nDAuzuskZea7kDvS8zChM2wj5,"[{""price"":9000000,""acceptedAt"":""2022-10-24T13:23:44.000Z""},{""price"":15000000,""acceptedAt"":null},{""price"":30000000,""acceptedAt"":null},{""price"":172000000,""acceptedAt"":null}]",[],0.003583
5,magmatic #195,"{""name"":""diagonal"",""id"":""tz1hGzy5aJwRDWzsfwgBkqAc9Ug5kcQxY6Jf""}",ooxah3wSVXRwRYZaR7AE4WFNioz5y395Ma94mgygNBwdb4Sfkwi,"[{""price"":9000000,""acceptedAt"":""2022-10-25T02:59:44.000Z""}]",[],0.003583
6,magmatic #194,"{""name"":""KyoobN"",""id"":""tz1dfTUctGffZMm26JFZVWgoHWqJsdoFp93Q""}",opNHN9jQt5s9y6pvrsS5NbEtrF8MjPhGpBHe5hjxnqqzfvqLgMd,[],[],0.003584
7,magmatic #193,"{""name"":""KyoobN"",""id"":""tz1dfTUctGffZMm26JFZVWgoHWqJsdoFp93Q""}",onrxN4QFPBw3Yo3JpZrG9xJ16Nt82BDJnyzd8DRYd7dttdnkbnm,"[{""price"":10000000,""acceptedAt"":""2022-12-04T04:03:44.000Z""},{""price"":20000000,""acceptedAt"":null}]",[],0.003584
8,magmatic #192,"{""name"":""KyoobN"",""id"":""tz1dfTUctGffZMm26JFZVWgoHWqJsdoFp93Q""}",oo8b2th8V34zkcFEw9D1G8Re9HGZg2FgLddxs8jabd64tcKHLv2,[],[],0.003584
9,magmatic #191,"{""name"":""agksys.tez"",""id"":""tz1ZhXjXNJ6eaEw42jvQBbvT1gW4dkBt5GxJ""}",opTkzeshiAtfBSPt92vJKAZrN4HBSiwUjpb6fM4AMWwwW4aW7vf,"[{""price"":9000000,""acceptedAt"":null},{""price"":25000000,""acceptedAt"":""2022-12-04T02:22:29.000Z""}]",[],0.003583
