,name,minter,generationHash,listings,offers,gas_fee
0,tratti #299,"{""name"":null,""id"":""tz1TEL6xFJx1hJKukx21NCufAfGEEr9yYoKX""}",ongCwU5sDzHms1WvwdmseChK5UZoE2LduqFgere1EoYadSNKXVu,"[{""price"":39000000,""acceptedAt"":null}]",[],0.003904
1,tratti #298,"{""name"":""drey"",""id"":""tz1ScVvkxWGyx1zmozaGSCzD1fSUzSbEQobg""}",op4HKQwk8WnFGviWet3dsVJ2EBzLofw69ttmLjMbrbM9V2waT5M,[],[],0.003849
2,tratti #297,"{""name"":""chrisiswhothisis"",""id"":""tz2J81nfEjPSYy6RCbqQbWA9qxiWPz1YjVog""}",opQSt18LuvD8Kbw6JzPTKk4DxhvQ66EXjiZyGKXpg9KwwE3dZuB,[],[],0.003885
3,tratti #296,"{""name"":""chessboss2000"",""id"":""tz1TL5mbC8x3T2nQLJrMTngrKmPn6dGmcPe3""}",oob6KGgktwBrSXigUgcvfCc3nmGssGmVWYdpynXyig9aVWi8MyU,"[{""price"":40000000,""acceptedAt"":null}]","[{""price"":34000000,""acceptedAt"":""2022-10-20T06:20:44.000Z""}]",0.003885
4,tratti #295,"{""name"":""Hevey"",""id"":""tz1NMvVB48fNzrG3rPZS58Eo1nSJ6p3RjRyz""}",oohSsWVJQPCuKGt3NAcobhMkEuRzYPiSMuqpTUpowZMWV2ax7QK,[],[],0.003885
5,tratti #294,"{""name"":""ndru_art"",""id"":""tz1YhAXQFfX2umDgD7gUES1wFjvLHzbRr7P5""}",onxbFBW6SkwMT8rbSx4iLAV7tmpprGvFz91x1cT8gHEkREZNZpK,"[{""price"":40000000,""acceptedAt"":null},{""price"":25000000,""acceptedAt"":null}]",[],0.010384
6,tratti #293,"{""name"":""pandemiaville "",""id"":""tz1WRboGJrpU2iUz537rwwaShwtQFA3KmUd2""}",opXAznSvW1w6aab2DZbpMgk36nUpD6gf1AT1PEknnuhwsC3s9ai,"[{""price"":42000000,""acceptedAt"":null},{""price"":29000000,""acceptedAt"":""2022-10-19T21:19:14.000Z""}]",[],0.003885
7,tratti #292,"{""name"":""Just a wallet"",""id"":""tz1SyrTbRRhke2vsbVvfCuyJJSwS1oDP9VEv""}",opAn1FzH4CCmHSigRz7dMTR4j8tPHuyuGvrSqSxMWPUJRzRWyxq,"[{""price"":58000000,""acceptedAt"":null},{""price"":25000000,""acceptedAt"":""2022-10-19T18:05:59.000Z""}]","[{""price"":22000000,""acceptedAt"":null}]",0.003885
8,tratti #291,"{""name"":""Hevey"",""id"":""tz1NMvVB48fNzrG3rPZS58Eo1nSJ6p3RjRyz""}",onigeREZpoipC2KMh87vd4wXCvLwqUcJDmEcaP5jn3BfqzKhDpa,[],[],0.003885
9,tratti #290,"{""name"":""Spartree"",""id"":""tz1eQkj9zKQ4oyakvEwuD5NPoim9bpocstdi""}",ooJZCkeivAdMccBrMFYwkm7vqK2xRzZBqT9UtvUiqzDZo5Mhip4,"[{""price"":30000000,""acceptedAt"":""2022-10-22T02:42:14.000Z""}]",[],0.003849
